Title,Date,Source,Content,URL,Stock,Sentiment
Microsoft's AI chatbot will 'recall' everything you do on a PC,20/5/2024 21:55,"MATT O'BRIEN, MANUEL VALDESUpdated 20 May 2024 at 2:55 pm·3-min read","REDMOND, Wash. (AP) — Microsoft wants laptop users to get so comfortable with its artificial intelligence chatbot that it will remember everything you're doing on your computer and help figure out what you want to do next. The software giant on Monday revealed a new class of AI-imbued personal computers as it confronts heightened competition from Big Tech rivals in pitching generative AI technology that can compose documents, make images and serve as a lifelike personal assistant at work or home. The announcements ahead of Microsoft's annual Build developer conference centered on fusing its AI assistant, called Copilot, into the Windows operating system for PCs, where Microsoft already has the eyes of millions of consumers. The new features will include Windows Recall, giving the AI assistant what Microsoft describes as “photographic memory” of a person's virtual activity. Microsoft promises to protect users' privacy by giving them the option to filter out what they don't want tracked, and keeping the tracking on the device. It's a step toward machines that “instantly see us, hear, reason about our intent and our surroundings,” said CEO Satya Nadella. “We’re entering this new era where computers not only understand us, but can actually anticipate what we want and our intent,"" Nadella said at an event at the company's headquarters in Redmond, Washington. The conference that starts Tuesday in Seattle follows big AI announcements last week from rival Google, as well as Microsoft's close business partner OpenAI, which built the AI large language models on which Microsoft's Copilot is based. Google rolled out a retooled search engine that periodically puts AI-generated summaries over website links at the top of the results page; while also showing off a still-in-development AI assistant Astra that will be able to “see” and converse about things shown through a smartphone’s camera lens. ChatGPT-maker OpenAI unveiled a new version of its chatbot last week, demonstrating an AI voice assistant with human characteristics that can banter about what someone's wearing and even attempt to assess a person’s emotions. The voice sounded so much like Scarlett Johansson playing an AI character in the sci-fi movie “Her” that OpenAI dropped the voice from its collection Monday. OpenAI also rolled out a new desktop version of ChatGPT designed for Apple's Mac computers.",https://sg.finance.yahoo.com/news/microsofts-ai-chatbot-recall-everything-185736872.html,AAPL,0.25
Web3 Marketing Needs Some of Apple’s Secret Sauce,20/5/2024 14:23,Tomer Sharoni20 May 2024 at 7:23 am·4-min read,"The launch of Apple’s Vision Pro headset has been perhaps the most controversial in its recent history – certainly, the biggest pivot since the company moved into the telecommunications market with the launch of the iPhone in 2007. Presenting the innovation at the time, then-CEO Steve Jobs claimed that it would “reinvent the phone.” Boy, was he right. Current CEO Tim Cook is betting the magic is still there with the Vision Pro – and he’s making many of the same branding and messaging plays that proved so successful for his predecessor, even while the apps, as use cases that prove the technology, are still in their earliest stages of development. This op-ed is part of CoinDesk's Web3 Marketing Week. Note: The views expressed in this column are those of the author and do not necessarily reflect those of CoinDesk, Inc. or its owners and affiliates. Apple Vision Pro is a headset, but you won’t find that word on the product’s landing page. Neither does Apple doesn’t overly concern itself with terms like augmented reality, extended reality, or mixed reality, even though those technologies are the essence of what the Vision Pro does. Instead, Apple chooses to tell you about how the Vision Pro enables you to enjoy immersive entertainment experiences from your sofa, capture and relive your precious moments as 3D photos and collaborate with remote colleagues as seamlessly as if you were in the same room. This is Apple’s secret sauce. It doesn’t tell us why we need the technology – it shows us why we want what it can do. This simple yet impactful communication strategy was instrumental in the widespread adoption of smartphones – and it already seems to be working for the Vision Pro. The device launched to U.S. consumers in February with an initial user base of up to 200,000 based on sales. If that seems underwhelming, then game engine giant Unity announced support for VisionOS from the moment of its release and there are further plans to roll out the device to the tech-hungry Chinese market later this year. Like spatial computing, Web3 is also an umbrella term, liberally thrown together with terms like blockchain, digital assets, DeFi and the rest of the crypto-jargon dictionary. But most people embedded in the crypto sphere have little grasp of how meaningless these words are to the lay person – and it’s not for a want of understanding their implications. Assuredly, the tech is appealing: a global survey carried out by Consensys found that 83% of respondents prioritize data privacy, 70% think they should share in the profits made from their data and 79% desire greater control over their online identities. Thus, the core values of Web3 are a vote-winner with the general public. Yet a disconnect remains: people support the ideology of Web3 without realizing what it is or how they can incorporate it into their lives. At the moment, the industry is an echo chamber with companies preaching to the converted using an esoteric lingua franca that resonates with a small audience of switched-on, tech-savvy users and crypto-native investors. To make good on the promise of Web3, there needs to be a shift towards more accessible, relatable messaging.",https://sg.finance.yahoo.com/news/web3-marketing-needs-apple-secret-142336677.html,AAPL,0.53
Zacks Industry Outlook Highlights Apple and HP,20/5/2024 9:45,Zacks Equity Research20 May 2024 at 2:45 am·7-min read,"Chicago, IL – May 20, 2024 – Today, Zacks Equity Research discusses Apple AAPL and HP HPQ. Industry: Mini-Computers Link: https://www.zacks.com/commentary/2275316/2-stocks-to-watch-from-the-challenging-computer-industry The Zacks Computer – Mini Computers industry is suffering from waning demand for consumer PCs. Geopolitical challenges, including persistent inflation and high interest, are major headwinds. Weak demand in China has been a headwind. However, industry participants are benefiting from steady demand for enterprise devices, including laptops, tablets and smartphones. Industry participants like Apple and HP are benefiting from these trends. The improving availability of 5G-enabled smartphones has been a key catalyst for industry participants. The launch of foldable and AI and ML-infused smartphones, tablets, wearables and hearables is another major growth driver for the industry participants. Robust demand for production printers, materials and software bodes well for 3-D printing solution providers. The Zacks Computer – Mini Computers industry comprises companies that offer smartphones, desktops, laptops, printers, wearables and 3-D printers. Such devices are based either on iOS, MacOS, iPadOS, WatchOS, Microsoft Windows, or Google Chrome and Android operating systems. The companies predominantly use processors from Apple, Intel, AMD, Qualcomm, NVIDIA and Samsung. Expanding screen size, better display and enhanced storage capabilities have been the key catalysts driving the rapid proliferation of smartphones. This has been well-supported by faster mobile processors. Laptops, both consumer and commercial, benefit from faster processors, sleek designs and expanded storage facilities. The addition of healthcare features has been driving the demand for wearables. Enterprise Adoption Remains Healthy: Strong enterprise demand has been benefiting the industry participants. The growing adoption of a hybrid working environment bodes well for the players, as demand for laptops and tablets is expected to increase. Demand for smart devices that offer facial recognition, retina scans or finger impressions to verify the user for biometrics is gaining traction as enterprises enhance security. Impressive Form Factor Drives Demand: Expanding screen size, better display and enhanced storage capabilities have been the key catalysts driving the rapid proliferation of smartphones and tablets. This has been well-supported by faster mobile processors from the likes of Qualcomm, NVIDIA, Apple and Samsung. Improved Internet penetration and speed, along with the evolution of mobile apps, have made smartphones indispensable for consumers. Improved graphics quality is making smartphones suitable for playing sophisticated games. This is driving the demand for high-end smartphones and opening up significant opportunities for device makers. PCs Face Extinction Risk: Personal computers (desktops and laptops), be it Windows or Apple’s MacOS-based ones, have been facing the risk of extinction due to the rapid proliferation of smartphones and tablets. Stiff competition from smartphones has compelled global PC makers to not only upgrade hardware frequently but also add apps and cloud-based services to attract consumers. Nevertheless, the emergence of 5G, AI, machine learning and foldable computers is likely to be the key catalysts in expanding the total addressable market of PCs.",https://sg.finance.yahoo.com/news/zacks-industry-outlook-highlights-apple-094500721.html,AAPL,0.57
Apple slashes prices of iPhone 15 models to new low in China amid heated competition in world's largest smartphone market,20/5/2024 9:30,South China Morning Post20 May 2024 at 2:30 am·3-min read,"Apple is offering a new range of steep discounts for iPhone 15 models to consumers in mainland China, with online retail platforms bringing prices to a new low amid the US tech giant's efforts to boost sluggish sales in the world's biggest smartphone market. The top-of-the-line 256-gigabyte iPhone 15 Pro Max model, for example, on Monday started selling for 7,949 yuan (US$1,100) on Apple's official online stores on JD.com and Alibaba Group Holding's Tmall platform - down 2,050 yuan, or 20 per cent off, from its 9,999-yuan price tag when the new series was released last September. Alibaba owns the South China Morning Post. The basic 128GB iPhone 15 model, meanwhile, now costs 23 per cent less at 4,599 yuan, down from its previous price of 5,999 yuan, on both JD.com and Tmall. The sale runs from May 20 to 28, according to the two platforms. Do you have questions about the biggest topics and trends from around the world? Get the answers with SCMP Knowledge, our new platform of curated content with explainers, FAQs, analyses and infographics brought to you by our award-winning team. Apple's mainland online Apple Store, however, kept the recent prices of iPhone 15 models unchanged. The company did not immediately respond to a request for comment on Monday. A large iPhone 15 Pro advertisement is displayed on a large screen at the Apple Store in Wangfujing Street in Beijing. Photo: Shutterstock alt=A large iPhone 15 Pro advertisement is displayed on a large screen at the Apple Store in Wangfujing Street in Beijing. Photo: Shutterstock> The aggressive discounts on the two major online platforms show the lengths being taken by Apple to reinvigorate domestic demand for its flagship product, more than a month after iPhone sales in the firm's Greater China region - comprising the mainland, Hong Kong and Taiwan - declined 8 per cent to US$16.4 billion in the March quarter. Apple's atypical iPhone discount drive on Chinese online marketplaces started in January, following online and offline campaigns of rival Chinese smartphone vendors - including Xiaomi and Honor - that knocked down prices on their various Android models. Discounts of up to 800 yuan were offered by Apple through its mainland online store in the same month, covering iPhones, iPads, MacBook laptops, AirPods and the Apple Watch. People check out various iPhone 15 models at Apple's launch event in the firm's headquarters in Cupertino, California, on September 12, 2023. Photo: AP alt=People check out various iPhone 15 models at Apple's launch event in the firm's headquarters in Cupertino, California, on September 12, 2023. Photo: AP>",https://sg.finance.yahoo.com/news/apple-slashes-prices-iphone-15-093000009.html,AAPL,0.55
Apple slashes iPhone prices in China amid fierce Huawei competition,20/5/2024 9:22,Reuters20 May 2024 at 2:22 am·1-min read,"BEIJING (Reuters) — Apple has launched an aggressive discounting campaign on its official Tmall site in China, offering discounts of up to 2,300 yuan ($318) on select iPhone models. The discounting comes as the U.S. tech giant seeks to defend its position in the high-end smartphone market, where it faces increasing competition from local rivals such as Huawei. Running from May 20 to May 28, it is more substantial than the one Apple offered in February. While the highest discount in the February campaign was 1,150 yuan, this time discounts are up to 2,300 yuan. The steepest discount applies to the 1TB iPhone 15 Pro Max model, while other models also see significant price cuts. For instance, the 128 GB version of the base iPhone 15 model has a discount of 1,400 yuan, according to Reuters' checks on Monday. The increased competitive pressure on Apple comes after Huawei last month introduced its new series of high-end smartphones, the Pura 70, following the launch of the Mate 60 last August. Apple's previous discounting effort in February appears to have helped the company mitigate a sales slowdown in China. Apple's shipments in China increased by 12% in March, according to Reuters' calculations based on data from the China Academy of Information and Communications Technology (CAICT). This marks a significant improvement from the first two months of 2024, when the company experienced a 37% slump in sales. (Reporting by Liam Mo and Casey Hall; Editing by Emelia Sithole-Matarise) The Lenovo Yoga 7 is a well-priced 2-in-1 AI laptop that can handle a variety of tasks. But it does have a few flaws. Our review.",https://sg.finance.yahoo.com/news/apple-slashes-iphone-prices-china-092211870.html,AAPL,0.45
iPad Air M2 review: cheaper iPad Pro for rest of us gets bigger,20/5/2024 6:00,Samuel Gibbs Consumer technology editor19 May 2024 at 11:00 pm·5-min read,"Apple has more options than ever for those after a tablet with different sizes, prices, screens and power, but the iPad Air is fairly simple to understand – it is the premium big-screen iPad for those who don’t want to fork out thousands for an iPad Pro. The Air starts at £599 (€699/$599/A$999) and is now available in two screen sizes: the original 11in and a larger 13in model for big-screen viewing. That puts it right in the middle of Apple’s lineup, with the 10th-gen iPad starting at £349 at the bottom and topped by the new iPad Pro M4 starting at £999. The 11in Air is a straight replacement for the excellent M1 model from 2022, with the same good-looking iPad Pro-like design, the same crisp screen and stereo speakers. The 13in version, as reviewed here, is enlarged by a factor of 1.2 on the diagonal, making it about the same size as previous-generation iPad Pros. The Air’s screen is a significant upgrade on the base-model iPad, being brighter and of higher quality, matching good-quality laptop screens such as those on the MacBook Air or Surface Laptop. But it lacks the more advanced 120Hz miniLED or OLED technology from the iPad Pro line. That means it is not as bright, contrasty or smooth as Apple’s top tablets. Compared side by side, the difference is night and day, but so is the price. The stereo speakers are great for watching TV. The aluminium body and glass front feel solid and are only 1mm thicker than the super slender, 5.1mm thick iPad Pro. The webcam has been moved to the top edge in landscape, which makes for a much-improved video call experience over previous iPads. Screen: 10.9in or 12.9in Liquid Retina display (264ppi) Processor: Apple M2 RAM: 8GB Storage: 128, 256, 512GB or 1TB Operating system: iPadOS 17.5",https://sg.finance.yahoo.com/news/ipad-air-m2-review-cheaper-060005519.html,AAPL,0.7
The 'Magnificent 7' term needs to be retired after Q1 earnings: Goldman Sachs,18/5/2024 5:39,Investing.com17 May 2024 at 10:39 pm·1-min read,"Goldman Sachs has observed a significant shift among the top technology companies, often dubbed the ""Magnificent 7,"" following their first-quarter results. Collectively, Apple Inc (NASDAQ:AAPL)., Amazon.com Inc (NASDAQ:AMZN)., Alphabet (NASDAQ:GOOGL) Inc., Meta Platforms Inc (NASDAQ:META)., Microsoft Corporation (NASDAQ:MSFT), NVIDIA Corporation (NASDAQ:NVDA), and Tesla (NASDAQ:TSLA) Inc. saw their profits increase by 48% year-over-year. This growth was supported by a 14% increase in sales and a margin expansion of 521 basis points, bringing the aggregate margin to 22.8%. However, this overall performance conceals the varying fortunes of the individual companies, the analysis showed. Meta Platforms, Alphabet, and Amazon outperformed expectations with sales growth of 27%, 15%, and 13% respectively, leading to year-to-date share price increases of 34%, 25%, and 21%. These gains reflect a stronger market performance for these companies relative to some of their peers. In stark contrast, Apple's sales saw a 4% decline, while Tesla experienced a 9% drop in revenues. Consequently, their stock prices have been impacted, with Apple's shares dipping by 1% and Tesla's plummeting by 30%. This downturn has led to Tesla's ranking falling to the 12th largest stock in the S&P 500 index. ""The sobriquet “Magnificent 7” needs to be retired following 1Q results,"" Goldman Sachs analysts said in a note. The report added that wide dispersion in performance highlights the diverse challenges and opportunities faced by these industry leaders. While some continue to expand and beat market expectations, others are navigating more difficult economic conditions.",https://sg.finance.yahoo.com/news/magnificent-7-term-needs-retired-053955592.html,AAPL,0.45
"Apple’s iPad Pro is its most incredible product, but software holds it back",17/5/2024 19:59,Daniel Howley·Technology EditorUpdated 17 May 2024 at 12:59 pm·4-min read,"Apple’s (AAPL) latest 13-inch iPad Pro is a marvel of engineering. But software still hamstrings the iPad Pro’s true potential, relegating the device to a sleek, high-end package for consuming content rather than allowing the iPad Pro to realize its productivity potential. The company has packed its latest M4 processor with up to 10 CPU and 10 GPU cores, more than you’ll find in its current MacBook Air and at least one version of its MacBook Pro, into a tablet thinner than Apple’s iPod Nano. At just 5.1 millimeters thick, the iPad Pro feels like if you hold it by one end, the other will droop like a piece of loose-leaf paper. It doesn’t, of course. The 11-inch iPad Pro is almost as thin at 5.3 mm. Oh, and then there’s the new Ultra Retina XDR display. Apple says the screen combines two OLED panels to boost its overall brightness while offering the same exceptional benefits you’d get out of a normal OLED display. That means inky blacks and brilliant colors. And all of that is going to cost you. A base 13-inch iPad Pro with Apple’s Magic Keyboard will set you back $1,648. That’s more than a high-end 13-inch MacBook Air and an entry-level MacBook Pro. I could deal with that price, though, if the iPad Pro didn’t have one big setback — iPadOS. Over the years, the iPad has made progress toward offering more Mac-like capabilities. You can run multiple apps at the same time, connect to an external display for a larger workspace, group apps together, and more. But iPadOS still holds back the iPad Pro from its true potential.",https://sg.finance.yahoo.com/news/apples-ipad-pro-is-its-most-incredible-product-but-software-holds-it-back-195926849.html,AAPL,0.35
"Apple set to release slimmer iPhone in 2025, the Information reports",17/5/2024 19:25,ReutersUpdated 17 May 2024 at 12:25 pm·1-min read,"(Reuters) - Apple is developing a slimmer version of the iPhone that is likely to be launched by 2025, the Information reported on Friday, citing three people with knowledge of the project. The potential thinner version is likely to be priced higher than Apple's iPhone Pro Max, and is expected to be launched with the iPhone 17 in September 2025, the report said. The Cupertino, California-based company is still testing different designs for the device, code-named D23, that could have Apple's latest-generation processor, likely called A19, the report added. Apple did not immediately respond to a Reuters request for comment. The expected revamp underscores Apple's need to spruce up the iPhone, the company's most popular product, as it grapples with tough competition from Honor and Huawei in China and Samsung Electronics globally. Samsung had the largest share of the smartphone market in the first three months of 2024 with 20.8%, followed by Apple's 17.3% market share, according to research firm International Data Corporation. For the fiscal second quarter, Apple's iPhone sales fell 10.5% to $45.96 billion. Apple also plans to drop its less expensive model iPhone Plus and intends to launch a cheaper iPhone, a successor to its iPhone SE in the spring of 2025, the report said. The news come days after Apple unveiled its latest iPad Pro with a new chip for artificial intelligence computing as it rushes to catch up with its Big Tech rivals in a race to dominate the emerging technology. (Reporting by Jaspreet Singh in Bengaluru; Editing by Vijay Kishore)",https://sg.finance.yahoo.com/news/apple-set-release-slimmer-iphone-180519872.html,AAPL,0.35
2 Stocks to Watch From the Challenging Computer Industry,17/5/2024 14:38,Aniruddha Ganguly17 May 2024 at 7:38 am·5-min read,"The Zacks Computer – Mini Computers industry is suffering from waning demand for consumer PCs. Geopolitical challenges, including persistent inflation and high interest, are major headwinds. Weak demand in China has been a headwind. However, industry participants are benefiting from steady demand for enterprise devices, including laptops, tablets and smartphones. Industry participants like Apple AAPL and HP HPQ are benefiting from these trends. The improving availability of 5G-enabled smartphones has been a key catalyst for industry participants. The launch of foldable and AI and ML-infused smartphones, tablets, wearables and hearables is another major growth driver for the industry participants. Robust demand for production printers, materials and software bodes well for 3-D printing solution providers. Industry Description The Zacks Computer – Mini Computers industry comprises companies that offer smartphones, desktops, laptops, printers, wearables and 3-D printers. Such devices are based either on iOS, MacOS, iPadOS, WatchOS, Microsoft Windows, or Google Chrome and Android operating systems. The companies predominantly use processors from Apple, Intel, AMD, Qualcomm, NVIDIA and Samsung. Expanding screen size, better display and enhanced storage capabilities have been the key catalysts driving the rapid proliferation of smartphones. This has been well-supported by faster mobile processors. Laptops, both consumer and commercial, benefit from faster processors, sleek designs and expanded storage facilities. The addition of healthcare features has been driving the demand for wearables. 3 Mini Computer Industry Trends to Watch Enterprise Adoption Remains Healthy: Strong enterprise demand has been benefiting the industry participants. The growing adoption of a hybrid working environment bodes well for the players, as demand for laptops and tablets is expected to increase. Demand for smart devices that offer facial recognition, retina scans or finger impressions to verify the user for biometrics is gaining traction as enterprises enhance security.Impressive Form Factor Drives Demand: Expanding screen size, better display and enhanced storage capabilities have been the key catalysts driving the rapid proliferation of smartphones and tablets. This has been well-supported by faster mobile processors from the likes of Qualcomm, NVIDIA, Apple and Samsung. Improved Internet penetration and speed, along with the evolution of mobile apps, have made smartphones indispensable for consumers. Improved graphics quality is making smartphones suitable for playing sophisticated games. This is driving the demand for high-end smartphones and opening up significant opportunities for device makers.PCs Face Extinction Risk: Personal computers (desktops and laptops), be it Windows or Apple’s MacOS-based ones, have been facing the risk of extinction due to the rapid proliferation of smartphones and tablets. Stiff competition from smartphones has compelled global PC makers to not only upgrade hardware frequently but also add apps and cloud-based services to attract consumers. Nevertheless, the emergence of 5G, AI, machine learning and foldable computers is likely to be the key catalysts in expanding the total addressable market of PCs. Zacks Industry Rank Indicates Dim Prospects The Zacks Computer – Mini Computers industry is housed within the broader Zacks Computer and Technology sector. It carries a Zacks Industry Rank #222, which places it in the bottom 11% of more than 250 Zacks industries.The group’s Zacks Industry Rank, which is the average of the Zacks Rank of all the member stocks, indicates dull near-term prospects. Our research shows that the top 50% of the Zacks-ranked industries outperform the bottom 50% by a factor of more than two to one.The industry’s position in the bottom 50% of the Zacks-ranked industries is a result of a negative earnings outlook for the constituent companies in aggregate. Looking at the aggregate earnings estimate revisions, it appears that analysts are pessimistic about this group’s earnings growth potential. Since May 31, 2023, the Zacks Consensus Estimate for this industry’s 2024 earnings has moved down 2%.Given the dim outlook, there are only a few stocks worth watching in the sector. But before we present those stocks that you may want to consider for your portfolio, let’s take a look at the industry’s recent stock-market performance and valuation picture. Industry Lags Sector and S&P 500 The Zacks Computer – Mini Computers industry has underperformed the broader Zacks Computer and Technology sector as well as the S&P 500 index over the past year.The industry has gained 8.2% over this period compared with the S&P 500’s return of 26.3% and the broader sector’s growth of 39%. Industry's Current Valuation ",https://sg.finance.yahoo.com/news/2-stocks-watch-challenging-computer-143800096.html,AAPL,0.37
